title,category_id
属する本能が強い人の特徴,5
特定のグループやコミュニティに入りたい本能,5
孤独の回避自分を受け入れてくれるコミュニティに入りたい,5
懐古の増幅昔を思い起こして懐かしい感情を味わいたい,5
分配の欲求仲間や好きな人に自分の物を分け与えたい,5
周知の探索周囲の人間が何を考えているかを知りたい,5
属する本能が強いよく見られる行動,5
 イベントへの参加共有体験を通じたつながり,5
 オンライングループへの参加共通の興味を共有,5
 既存の友人関係の強化既存のつながりを深める,5
 新しい友達を作る新たなつながりの可能性,5
 プレゼントを贈る他者への思いやりを示す,5
 口コミ情報を探す他者の意見を参照,5
 特定のファッションを選ぶ自己表現と所属感を強化,5
 資産を後に遺す他者への思いやりを示す,5
 自分と似た人に惹かれる共通の価値観を共有,5
 グループ活動に参加共有体験を通じたつながり,5
 コミュニティのルール尊重共同体の一員としての役割,5
 共有体験を追求共有体験を通じたつながり,5
 グループアイデンティティ意識自己認識と他者とのつながり,5
 他人との関係性重視感情的なつながりの強化,5
 自己犠牲他者への思いやりを示す,5
 他人の意見に敏感他者の意見を参照,5
 グループの価値観を自分のもの共通の信念を共有,5
 グループ内での役割共同体の一員としての役割,5
 グループの一員としての自己認識自己認識と他者とのつながり,5
 グループの調和を保つ共同体の一員としての役割,5
 グループへの投資共同体の一員としての役割,5
 グループからの承認を求める自己価値の認識と他者とのつながり,5
 グループの利益を優先共同体の一員としての役割,5
 グループの信念を守る共通の信念を共有,5
 グループとの絆を深める感情的なつながりの強化,5
 自己の意見を抑える共同体の一員としての役割,5
 グループの一員としての誇り自己認識と他者とのつながり,5
 グループの一員としての責任共同体の一員としての役割,5
 役割を果たすことに満足自己価値の認識と他者とのつながり,5
 グループの一員としての自己価値自己価値の認識と他者とのつながり,5
属する本能の活性化要因,5
 孤独人間関係の欠如が属する欲求を刺激,5
 古い友人からの連絡既存のつながりを再確認,5
 新しい友人候補新たなつながりの可能性,5
 同じ趣味のグループ共通の興味を共有,5
 社会的な拒絶属する欲求を刺激,5
 騙されたとき信頼できる関係の欠如,5
 親密なグループを見る属する欲求を刺激,5
 新しい友人との出会い新たなつながりの可能性,5
 グループ活動への参加共有体験を通じたつながり,5
 共通の趣味を持つ人々共通の興味を共有,5
 社会的な拒絶の経験属する欲求を刺激,5
 信頼できるコミュニティ安全なつながりの存在,5
 同じ価値観を持つ人々共通の信念を共有,5
 自己表現の機会自己理解と他者とのつながり,5
 共感を得られる環境感情的なつながりの強化,5
 自己肯定感の強化自己価値の認識と他者とのつながり,5
 他者からの承認自己価値の認識と他者とのつながり,5
 安心感を提供する環境安全なつながりの存在,5
 自分を理解してくれる人感情的なつながりの強化,5
 共有の体験共有体験を通じたつながり,5
 他者との協力体験共同作業を通じたつながり,5
 自己を受け入れてくれる環境感情的なつながりの強化,5
 自己開示の機会自己理解と他者とのつながり,5
 深い関係の構築感情的なつながりの強化,5
 アイデンティティの強化自己理解と他者とのつながり,5
 他者からのフィードバック自己理解と他者とのつながり,5
 自分を必要としてくれる人自己価値の認識と他者とのつながり,5
 共有の目標共同作業を通じたつながり,5
 他者との競争自己価値の認識と他者とのつながり,5
 スキルを活かせる環境自己価値の認識と他者とのつながり,5
代表的な商品の例,5
 SNS全般人々とつながり情報を共有,5
 趣味のサークル共通の趣味を共有する場,5
 マッチングサービス同じ価値観の人と出会う,5
 ローカルな飲食店地元の人々との交流の場,5
 趣味のイベント共通の趣味を楽しむ場,5
 オンラインゲーム共同でゲームを楽しむ,5
 スポーツクラブ共通のスポーツを楽しむ場,5
 装飾品自己表現と所属感を強化,5
 家電製品家族や友人との共有体験,5
 マニアックな音楽特定の音楽コミュニティへの所属,5
 レビューサービス他人の意見を共有参照,5
 スポーツ観戦チームへの応援と共感,5
 居酒屋友人や同僚との交流の場,5
 他人と楽しむ商品共有体験を提供,5
 SNSアプリ人々とのつながりを強化,5
 オンラインゲーム共同での遊びを提供,5
 チームスポーツ商品チームへの所属感を強化,5
 イベントチケット共有体験を提供,5
 ブランド服特定のブランドへの所属感,5
 グループ旅行パッケージ共有体験を提供,5
 ファンクラブ会員権特定のグループへの所属感,5
 グループレッスン共通の学びを共有,5
 チャリティ商品共通の価値観を共有,5
 ファンアイテム特定のグループへの所属感,5
 音声チャットアプリ人々とのつながりを強化,5
 オンライン学習コミュニティ共通の学びを共有,5
 ブッククラブ会員権共通の読書体験を共有,5
 マッチングアプリ同じ価値観の人と出会う,5
 ボランティア商品共通の価値観を共有,5
 ファンミーティングチケット特定のグループへの所属感,5
属する本能が強い人の趣味,5
 ローカルフットボールサポーター地元愛を共有する,5
 ファンタジー文学ブッククラブ共通の読書体験を共有,5
 フードバンクボランティア地域社会への貢献を感じる,5
 MMORPGのプレイオンラインでの共同体験を楽しむ,5
 ストリートダンスダンスを通じた自己表現と共感,5
 ホットヨガ集団での健康維持とリラクゼーション,5
 ベーガン料理倫理的な食生活を共有する,5
 トレイルランニング自然と共に走る喜びを共有,5
 K-POPコンサート音楽を通じた共感と興奮,5
 バラ栽培美しさと自然への愛を共有,5
 パレット家具作成DIYの喜びと成果を共有,5
 ドッグアジリティペットとの絆を深める活動,5
 ドローン写真新しい視点での風景を共有,5
 バックパッキング冒険と旅の体験を共有,5
